------RESULT-----

Pass-through
Pass-through query to just show input stream in the same form as we show output.
CTI    <05/03/2013 21:05:49>
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0, input2 = 1, input3 = 0, input4 = 0 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.92388, input2 = -0.38268, input3 = 0.92388, input4 = 0.4714 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.92388, input2 = -0.38268, input3 = 0.92388, input4 = -0.4714 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.92388, input2 = 0.38268, input3 = -0.92388, input4 = 0.29028 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.92388, input2 = 0.38268, input3 = -0.92388, input4 = -0.29028 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.92388, input2 = 0.38268, input3 = -0.92388, input4 = 0.95694 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.92388, input2 = 0.38268, input3 = -0.92388, input4 = -0.95694 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.92388, input2 = -0.38268, input3 = -0.92388, input4 = 0.88192 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.92388, input2 = -0.38268, input3 = -0.92388, input4 = -0.88192 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.92388, input2 = -0.38268, input3 = -0.92388, input4 = 0.4714 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 4.8973E-15, input2 = -1, input3 = 4.8973E-15, input4 = -0.70711 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 1.2738E-14, input2 = -1, input3 = 1.2738E-14, input4 = 0.70711 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.38268, input2 = 0.92388, input3 = 0.38268, input4 = 0.098017 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.38268, input2 = 0.92388, input3 = 0.38268, input4 = -0.098017 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.38268, input2 = 0.92388, input3 = 0.38268, input4 = 0.99518 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.38268, input2 = 0.92388, input3 = 0.38268, input4 = -0.99518 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.38268, input2 = -0.92388, input3 = 0.38268, input4 = 0.77301 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.38268, input2 = -0.92388, input3 = 0.38268, input4 = -0.77301 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.38268, input2 = -0.92388, input3 = 0.38268, input4 = 0.63439 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.38268, input2 = -0.92388, input3 = 0.38268, input4 = -0.63439 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.38268, input2 = 0.92388, input3 = -0.38268, input4 = 0.098017 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.38268, input2 = 0.92388, input3 = -0.38268, input4 = -0.098017 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.38268, input2 = 0.92388, input3 = -0.38268, input4 = 0.99518 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.38268, input2 = -0.92388, input3 = -0.38268, input4 = 0.77301 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.38268, input2 = -0.92388, input3 = -0.38268, input4 = 0.63439 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.38268, input2 = -0.92388, input3 = -0.38268, input4 = -0.63439 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 2.0578E-14, input2 = -1, input3 = 2.0578E-14, input4 = 0.70711 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -8.8175E-15, input2 = 1, input3 = -8.8175E-15, input4 = -2.2044E-15 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -1.6658E-14, input2 = 1, input3 = -1.6658E-14, input4 = -1 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 3.9238E-15, input2 = 1, input3 = 3.9238E-15, input4 = -9.8096E-16 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -9.7724E-16, input2 = 1, input3 = -9.7724E-16, input4 = 1 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.70711, input2 = 0.70711, input3 = 0.70711, input4 = 0.98079 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.70711, input2 = 0.70711, input3 = 0.70711, input4 = 0.19509 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.70711, input2 = 0.70711, input3 = 0.70711, input4 = -0.19509 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.70711, input2 = -0.70711, input3 = 0.70711, input4 = 0.83147 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.70711, input2 = -0.70711, input3 = 0.70711, input4 = -0.83147 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.70711, input2 = -0.70711, input3 = 0.70711, input4 = 0.55557 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.70711, input2 = 0.70711, input3 = -0.70711, input4 = 0.98079 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.70711, input2 = 0.70711, input3 = -0.70711, input4 = -0.98079 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.70711, input2 = 0.70711, input3 = -0.70711, input4 = 0.19509 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.70711, input2 = 0.70711, input3 = -0.70711, input4 = -0.19509 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.70711, input2 = -0.70711, input3 = -0.70711, input4 = 0.83147 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.70711, input2 = -0.70711, input3 = -0.70711, input4 = -0.83147 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.70711, input2 = -0.70711, input3 = -0.70711, input4 = 0.55557 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.70711, input2 = -0.70711, input3 = -0.70711, input4 = -0.55557 }
CTI    <05/03/2013 21:05:49>
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 1, input2 = -1.2255E-14, input3 = 1, input4 = 0.38268 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -1, input2 = -1.2247E-14, input3 = -1, input4 = -0.92388 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -1, input2 = -2.0087E-14, input3 = -1, input4 = 0.38268 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -3.9164E-15, input2 = 1, input3 = -3.9164E-15, input4 = 1 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.92388, input2 = 0.38268, input3 = 0.92388, input4 = -0.29028 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.92388, input2 = 0.38268, input3 = 0.92388, input4 = 0.95694 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.92388, input2 = -0.38268, input3 = 0.92388, input4 = -0.88192 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.92388, input2 = -0.38268, input3 = 0.92388, input4 = -0.4714 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.92388, input2 = 0.38268, input3 = -0.92388, input4 = 0.95694 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.92388, input2 = -0.38268, input3 = -0.92388, input4 = -0.4714 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.38268, input2 = 0.92388, input3 = 0.38268, input4 = 0.098017 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.38268, input2 = -0.92388, input3 = 0.38268, input4 = 0.63439 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.38268, input2 = 0.92388, input3 = -0.38268, input4 = 0.098017 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.38268, input2 = 0.92388, input3 = -0.38268, input4 = -0.99518 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.38268, input2 = -0.92388, input3 = -0.38268, input4 = -0.77301 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.38268, input2 = -0.92388, input3 = -0.38268, input4 = 0.63439 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 2.8418E-14, input2 = -1, input3 = 2.8418E-14, input4 = -0.70711 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.70711, input2 = 0.70711, input3 = 0.70711, input4 = -0.98079 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.70711, input2 = 0.70711, input3 = 0.70711, input4 = -0.19509 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.70711, input2 = -0.70711, input3 = 0.70711, input4 = 0.83147 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.70711, input2 = -0.70711, input3 = 0.70711, input4 = -0.55557 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.70711, input2 = 0.70711, input3 = -0.70711, input4 = -0.19509 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.70711, input2 = -0.70711, input3 = -0.70711, input4 = 0.83147 }
CTI    <05/03/2013 21:05:49>
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 1, input2 = 1.1266E-14, input3 = 1, input4 = 0.92388 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 1, input2 = 3.4259E-15, input3 = 1, input4 = -0.38268 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 1, input2 = -4.4143E-15, input3 = 1, input4 = -0.92388 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -1, input2 = 1.3235E-14, input3 = -1, input4 = -0.92388 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -1, input2 = -2.7928E-14, input3 = -1, input4 = 0.92388 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -1, input2 = -3.5768E-14, input3 = -1, input4 = -0.38268 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.92388, input2 = 0.38268, input3 = 0.92388, input4 = 0.29028 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.92388, input2 = 0.38268, input3 = 0.92388, input4 = -0.29028 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.92388, input2 = 0.38268, input3 = 0.92388, input4 = -0.95694 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.92388, input2 = -0.38268, input3 = 0.92388, input4 = 0.88192 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.92388, input2 = -0.38268, input3 = 0.92388, input4 = 0.4714 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.92388, input2 = 0.38268, input3 = -0.92388, input4 = 0.29028 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.92388, input2 = 0.38268, input3 = -0.92388, input4 = -0.29028 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.92388, input2 = 0.38268, input3 = -0.92388, input4 = -0.95694 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.92388, input2 = -0.38268, input3 = -0.92388, input4 = 0.88192 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.92388, input2 = -0.38268, input3 = -0.92388, input4 = -0.88192 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.92388, input2 = -0.38268, input3 = -0.92388, input4 = 0.4714 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -1.2745E-14, input2 = -1, input3 = -1.2745E-14, input4 = 0.70711 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -1.1757E-14, input2 = 1, input3 = -1.1757E-14, input4 = -2.9392E-15 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.38268, input2 = 0.92388, input3 = 0.38268, input4 = -0.098017 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.38268, input2 = 0.92388, input3 = 0.38268, input4 = 0.99518 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.38268, input2 = 0.92388, input3 = 0.38268, input4 = -0.99518 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.38268, input2 = -0.92388, input3 = 0.38268, input4 = 0.77301 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.38268, input2 = -0.92388, input3 = 0.38268, input4 = -0.77301 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.38268, input2 = -0.92388, input3 = 0.38268, input4 = -0.63439 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.38268, input2 = 0.92388, input3 = -0.38268, input4 = -0.098017 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.38268, input2 = 0.92388, input3 = -0.38268, input4 = 0.99518 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.38268, input2 = 0.92388, input3 = -0.38268, input4 = -0.99518 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.38268, input2 = -0.92388, input3 = -0.38268, input4 = 0.77301 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.38268, input2 = -0.92388, input3 = -0.38268, input4 = -0.77301 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.38268, input2 = -0.92388, input3 = -0.38268, input4 = -0.63439 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -1.9597E-14, input2 = 1, input3 = -1.9597E-14, input4 = -1 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 3.6258E-14, input2 = -1, input3 = 3.6258E-14, input4 = -0.70711 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -4.9048E-15, input2 = -1, input3 = -4.9048E-15, input4 = 0.70711 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -2.7437E-14, input2 = 1, input3 = -2.7437E-14, input4 = 6.8593E-15 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.70711, input2 = 0.70711, input3 = 0.70711, input4 = 0.98079 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.70711, input2 = 0.70711, input3 = 0.70711, input4 = -0.98079 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.70711, input2 = 0.70711, input3 = 0.70711, input4 = 0.19509 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.70711, input2 = -0.70711, input3 = 0.70711, input4 = -0.83147 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.70711, input2 = -0.70711, input3 = 0.70711, input4 = 0.55557 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.70711, input2 = -0.70711, input3 = 0.70711, input4 = -0.55557 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.70711, input2 = 0.70711, input3 = -0.70711, input4 = 0.98079 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.70711, input2 = 0.70711, input3 = -0.70711, input4 = -0.98079 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.70711, input2 = 0.70711, input3 = -0.70711, input4 = 0.19509 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.70711, input2 = -0.70711, input3 = -0.70711, input4 = -0.83147 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.70711, input2 = -0.70711, input3 = -0.70711, input4 = 0.55557 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.70711, input2 = -0.70711, input3 = -0.70711, input4 = -0.55557 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.92388, input2 = -0.38268, input3 = 0.92388, input4 = -0.88192 }
CTI    <05/03/2013 21:05:49>
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 1, input2 = 4.2627E-14, input3 = 1, input4 = 0.92388 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 1, input2 = 2.6947E-14, input3 = 1, input4 = -0.92388 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 1, input2 = 3.4787E-14, input3 = 1, input4 = -0.38268 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 1, input2 = 1.9106E-14, input3 = 1, input4 = 0.38268 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -1, input2 = -2.445E-15, input3 = -1, input4 = 0.92388 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -1, input2 = -1.0285E-14, input3 = -1, input4 = -0.38268 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -1, input2 = 5.3953E-15, input3 = -1, input4 = 0.38268 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 2.6456E-14, input2 = -1, input3 = 2.6456E-14, input4 = 0.70711 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.92388, input2 = 0.38268, input3 = 0.92388, input4 = 0.29028 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.92388, input2 = 0.38268, input3 = 0.92388, input4 = 0.95694 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.92388, input2 = 0.38268, input3 = 0.92388, input4 = -0.95694 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.92388, input2 = -0.38268, input3 = 0.92388, input4 = 0.88192 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.92388, input2 = -0.38268, input3 = 0.92388, input4 = 0.4714 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.92388, input2 = -0.38268, input3 = 0.92388, input4 = -0.4714 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.92388, input2 = 0.38268, input3 = -0.92388, input4 = -0.29028 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.92388, input2 = 0.38268, input3 = -0.92388, input4 = 0.95694 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.92388, input2 = 0.38268, input3 = -0.92388, input4 = -0.95694 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.92388, input2 = -0.38268, input3 = -0.92388, input4 = 0.88192 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.92388, input2 = -0.38268, input3 = -0.92388, input4 = -0.88192 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.92388, input2 = -0.38268, input3 = -0.92388, input4 = 0.4714 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.92388, input2 = -0.38268, input3 = -0.92388, input4 = -0.4714 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -3.5277E-14, input2 = 1, input3 = -3.5277E-14, input4 = 1 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 2.9354E-15, input2 = -1, input3 = 2.9354E-15, input4 = -0.70711 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.38268, input2 = 0.92388, input3 = 0.38268, input4 = 0.098017 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.38268, input2 = 0.92388, input3 = 0.38268, input4 = -0.098017 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.38268, input2 = 0.92388, input3 = 0.38268, input4 = 0.99518 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.38268, input2 = 0.92388, input3 = 0.38268, input4 = -0.99518 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.38268, input2 = -0.92388, input3 = 0.38268, input4 = -0.77301 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.38268, input2 = -0.92388, input3 = 0.38268, input4 = 0.63439 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.38268, input2 = -0.92388, input3 = 0.38268, input4 = -0.63439 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.38268, input2 = 0.92388, input3 = -0.38268, input4 = 0.098017 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.38268, input2 = 0.92388, input3 = -0.38268, input4 = -0.098017 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.38268, input2 = 0.92388, input3 = -0.38268, input4 = 0.99518 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.38268, input2 = -0.92388, input3 = -0.38268, input4 = 0.77301 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.38268, input2 = -0.92388, input3 = -0.38268, input4 = 0.63439 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.38268, input2 = -0.92388, input3 = -0.38268, input4 = -0.63439 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 1.0776E-14, input2 = -1, input3 = 1.0776E-14, input4 = -0.70711 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 1.8616E-14, input2 = -1, input3 = 1.8616E-14, input4 = 0.70711 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 5.8857E-15, input2 = 1, input3 = 5.8857E-15, input4 = -1 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -4.3117E-14, input2 = 1, input3 = -4.3117E-14, input4 = -1.0779E-14 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.70711, input2 = 0.70711, input3 = 0.70711, input4 = 0.98079 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.70711, input2 = 0.70711, input3 = 0.70711, input4 = 0.19509 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.70711, input2 = 0.70711, input3 = 0.70711, input4 = -0.19509 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.70711, input2 = -0.70711, input3 = 0.70711, input4 = 0.83147 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.70711, input2 = -0.70711, input3 = 0.70711, input4 = -0.83147 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.70711, input2 = -0.70711, input3 = 0.70711, input4 = 0.55557 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.70711, input2 = 0.70711, input3 = -0.70711, input4 = 0.98079 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.70711, input2 = 0.70711, input3 = -0.70711, input4 = -0.98079 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.70711, input2 = 0.70711, input3 = -0.70711, input4 = 0.19509 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.70711, input2 = 0.70711, input3 = -0.70711, input4 = -0.19509 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.70711, input2 = -0.70711, input3 = -0.70711, input4 = 0.83147 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.70711, input2 = -0.70711, input3 = -0.70711, input4 = -0.83147 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.70711, input2 = -0.70711, input3 = -0.70711, input4 = -0.55557 }
CTI    <05/03/2013 21:05:49>
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 1, input2 = 9.3042E-15, input3 = 1, input4 = -0.38268 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 1, input2 = 1.464E-15, input3 = 1, input4 = -0.92388 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 1, input2 = -6.3762E-15, input3 = 1, input4 = 0.38268 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -1, input2 = -2.5966E-14, input3 = -1, input4 = 0.38268 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -1, input2 = -1.8125E-14, input3 = -1, input4 = -0.92388 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -1, input2 = -3.3806E-14, input3 = -1, input4 = 0.92388 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -9.7947E-15, input2 = 1, input3 = -9.7947E-15, input4 = 1 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 4.2137E-14, input2 = -1, input3 = 4.2137E-14, input4 = -0.70711 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -2.5475E-14, input2 = 1, input3 = -2.5475E-14, input4 = -1 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.92388, input2 = 0.38268, input3 = 0.92388, input4 = 0.29028 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.92388, input2 = 0.38268, input3 = 0.92388, input4 = -0.29028 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.92388, input2 = 0.38268, input3 = 0.92388, input4 = 0.95694 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.92388, input2 = 0.38268, input3 = 0.92388, input4 = -0.95694 }
